         7x13E                    (7x13E.dat)
         Interpolated from 7x11E and 7x15E
         Estimation Date: 04/16/2026

         AIRFOIL AERO DATA GENERATED USING:  INTERPOLATION (7x11E + 7x15E)  

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       18.09      0.9095      0.6679      0.1530      0.2087       0.007       0.160       0.105       5.681       0.018       0.469       8.558          0.09     21208.      0.2323
       19.48      0.9795      0.6913      0.1516      0.2152       0.008       0.165       0.105       5.862       0.019       0.464       8.228          0.09     21430.      0.2223
       20.87      1.0494      0.7116      0.1489      0.2203       0.008       0.169       0.103       5.998       0.019       0.457       7.908          0.09     21664.      0.2117
       22.26      1.1194      0.7297      0.1447      0.2227       0.009       0.171       0.100       6.064       0.019       0.443       7.604          0.09     21912.      0.2005
       23.66      1.1894      0.7460      0.1386      0.2218       0.008       0.170       0.096       6.040       0.019       0.424       7.319          0.09     22173.      0.1889
       25.04      1.2593      0.7609      0.1309      0.2176       0.008       0.167       0.090       5.925       0.019       0.401       7.051          0.09     22447.      0.1769
       26.44      1.3293      0.7737      0.1219      0.2102       0.007       0.162       0.084       5.726       0.018       0.373       6.794          0.09     22732.      0.1645
       27.82      1.3992      0.7838      0.1118      0.2004       0.007       0.154       0.077       5.457       0.017       0.343       6.540          0.09     23030.      0.1517
       29.22      1.4692      0.7900      0.1009      0.1884       0.007       0.145       0.070       5.129       0.017       0.309       6.279          0.09     23336.      0.1383
       30.60      1.5392      0.7912      0.0893      0.1744       0.006       0.134       0.061       4.750       0.015       0.273       6.002          0.10     23653.      0.1244
