         7x13E                    (7x13E.dat)
         Interpolated from 7x11E and 7x15E
         Estimation Date: 04/16/2026

         AIRFOIL AERO DATA GENERATED USING:  INTERPOLATION (7x11E + 7x15E)  

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       35.77      0.2840      0.2834      0.1504      0.1505       1.397       4.633       4.155    1041.565       0.523      18.483       1.843          0.53    125860.      0.3149
       44.72      0.3550      0.3498      0.1511      0.1531       1.420       4.711       4.173    1059.062       0.532      18.562       1.818          0.53    126450.      0.3113
       53.66      0.4260      0.4128      0.1520      0.1565       1.453       4.817       4.197    1082.947       0.544      18.671       1.787          0.53    127132.      0.3068
       62.60      0.4970      0.4718      0.1530      0.1610       1.493       4.953       4.228    1113.482       0.559      18.805       1.749          0.54    127908.      0.3014
       71.55      0.5680      0.5260      0.1542      0.1663       1.543       5.119       4.261    1150.684       0.579      18.954       1.705          0.54    128780.      0.2949
       80.48      0.6390      0.5751      0.1555      0.1726       1.601       5.313       4.296    1194.301       0.600      19.110       1.657          0.54    129748.      0.2877
       89.43      0.7101      0.6187      0.1568      0.1798       1.668       5.533       4.330    1243.746       0.625      19.259       1.604          0.54    130810.      0.2795
       98.38      0.7811      0.6569      0.1578      0.1876       1.740       5.774       4.359    1297.979       0.653      19.386       1.548          0.55    131968.      0.2705
      107.31      0.8520      0.6897      0.1585      0.1959       1.817       6.029       4.377    1355.319       0.681      19.470       1.490          0.55    133218.      0.2609
      116.25      0.9231      0.7178      0.1586      0.2042       1.895       6.286       4.380    1413.089       0.710      19.482       1.432          0.55    134560.      0.2506
      125.20      0.9941      0.7416      0.1578      0.2121       1.967       6.526       4.358    1467.084       0.738      19.383       1.374          0.56    135994.      0.2398
      134.14      1.0651      0.7619      0.1557      0.2184       2.026       6.723       4.300    1511.099       0.760      19.124       1.318          0.56    137518.      0.2283
      143.09      1.1361      0.7798      0.1518      0.2223       2.061       6.839       4.194    1537.411       0.772      18.654       1.265          0.56    139130.      0.2164
      152.03      1.2071      0.7962      0.1460      0.2225       2.064       6.848       4.034    1539.467       0.774      17.941       1.216          0.57    140828.      0.2039
      160.97      1.2781      0.8115      0.1383      0.2190       2.031       6.739       3.820    1514.943       0.762      16.992       1.171          0.57    142610.      0.1911
      169.91      1.3491      0.8260      0.1290      0.2118       1.965       6.519       3.562    1465.449       0.736      15.846       1.129          0.57    144470.      0.1780
      178.86      1.4202      0.8392      0.1183      0.2016       1.869       6.202       3.270    1394.137       0.700      14.546       1.090          0.58    146401.      0.1646
      187.80      1.4911      0.8502      0.1069      0.1885       1.749       5.801       2.951    1304.050       0.655      13.127       1.052          0.58    148399.      0.1509
      196.75      1.5621      0.8587      0.0945      0.1731       1.606       5.328       2.612    1197.637       0.602      11.620       1.014          0.59    150459.      0.1368
      205.69      1.6331      0.8630      0.0818      0.1557       1.445       4.790       2.258    1076.812       0.541      10.043       0.975          0.59    152578.      0.1223
      214.63      1.7041      0.8615      0.0685      0.1363       1.264       4.196       1.892     943.148       0.474       8.415       0.933          0.60    154753.      0.1071
      223.57      1.7752      0.8504      0.0549      0.1153       1.070       3.550       1.518     798.032       0.401       6.749       0.883          0.61    156982.      0.0908
      232.51      1.8461      0.8227      0.0412      0.0930       0.862       2.860       1.138     642.817       0.324       5.059       0.821          0.61    159260.      0.0731
      241.46      1.9171      0.7606      0.0273      0.0693       0.643       2.131       0.756     478.971       0.241       3.360       0.730          0.62    161588.      0.0530
      250.40      1.9882      0.6065      0.0135      0.0446       0.413       1.371       0.375     308.181       0.155       1.667       0.560          0.62    163963.      0.0286
      259.34      2.0592     -0.0027      0.0000      0.0192       0.177       0.590      -0.001     132.463       0.067      -0.003      -0.002          0.64    166381.      0.0000



         PROP RPM =      20000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1506      0.1483       1.605       5.056       4.610    1196.555       0.572      20.504       1.792          0.56    130868.      0.3225
        9.41      0.0710      0.0721      0.1502      0.1481       1.602       5.048       4.597    1194.594       0.570      20.447       1.785          0.56    131155.      0.3211
       18.82      0.1420      0.1436      0.1501      0.1483       1.604       5.058       4.591    1196.685       0.572      20.423       1.777          0.56    131514.      0.3194
       28.23      0.2130      0.2142      0.1501      0.1492       1.615       5.088       4.595    1203.924       0.575      20.438       1.765          0.56    131955.      0.3173
       37.65      0.2840      0.2829      0.1505      0.1508       1.633       5.144       4.607    1217.288       0.581      20.489       1.748          0.56    132482.      0.3145
       47.06      0.3550      0.3493      0.1512      0.1534       1.659       5.230       4.627    1237.562       0.591      20.578       1.724          0.56    133104.      0.3110
       56.48      0.4260      0.4123      0.1521      0.1568       1.696       5.348       4.654    1265.308       0.604      20.700       1.695          0.56    133821.      0.3065
       65.89      0.4970      0.4713      0.1532      0.1613       1.744       5.498       4.688    1300.832       0.621      20.850       1.660          0.56    134638.      0.3012
       75.30      0.5680      0.5255      0.1544      0.1666       1.803       5.681       4.726    1344.175       0.641      21.018       1.619          0.56    135555.      0.2949
       84.72      0.6389      0.5746      0.1557      0.1729       1.870       5.896       4.765    1395.066       0.666      21.194       1.573          0.56    136573.      0.2876
       94.12      0.7100      0.6183      0.1569      0.1800       1.948       6.140       4.803    1452.848       0.694      21.364       1.523          0.57    137692.      0.2795
      103.54      0.7810      0.6566      0.1580      0.1880       2.034       6.409       4.836    1516.350       0.724      21.511       1.470          0.57    138909.      0.2707
      112.95      0.8520      0.6896      0.1588      0.1963       2.123       6.693       4.858    1583.658       0.756      21.611       1.416          0.57    140225.      0.2611
      122.37      0.9230      0.7178      0.1589      0.2047       2.215       6.981       4.864    1651.715       0.789      21.634       1.361          0.58    141638.      0.2510
      131.78      0.9940      0.7416      0.1582      0.2127       2.301       7.251       4.842    1715.698       0.820      21.538       1.306          0.58    143146.      0.2402
      141.19      1.0650      0.7620      0.1562      0.2192       2.372       7.474       4.781    1768.450       0.844      21.267       1.252          0.59    144748.      0.2288
      150.60      1.1360      0.7799      0.1525      0.2232       2.416       7.611       4.668    1800.926       0.860      20.763       1.203          0.59    146445.      0.2169
      160.02      1.2070      0.7963      0.1468      0.2238       2.421       7.629       4.494    1805.179       0.861      19.988       1.155          0.59    148234.      0.2046
      169.43      1.2780      0.8117      0.1392      0.2204       2.385       7.514       4.260    1778.081       0.849      18.948       1.113          0.60    150109.      0.1918
      178.84      1.3490      0.8262      0.1299      0.2133       2.308       7.274       3.976    1721.281       0.822      17.684       1.074          0.60    152066.      0.1787
      188.25      1.4200      0.8395      0.1193      0.2031       2.197       6.925       3.652    1638.443       0.782      16.245       1.036          0.61    154099.      0.1653
      197.67      1.4909      0.8508      0.1077      0.1900       2.056       6.479       3.298    1533.188       0.732      14.671       1.000          0.61    156202.      0.1517
      207.08      1.5620      0.8595      0.0955      0.1746       1.889       5.953       2.921    1408.438       0.673      12.993       0.965          0.62    158371.      0.1376
      216.49      1.6330      0.8643      0.0826      0.1570       1.698       5.352       2.526    1266.468       0.605      11.237       0.928          0.63    160602.      0.1230
      225.90      1.7040      0.8634      0.0692      0.1374       1.487       4.688       2.118    1109.144       0.530       9.421       0.888          0.63    162892.      0.1079
      235.32      1.7750      0.8532      0.0556      0.1162       1.258       3.965       1.700     938.094       0.448       7.560       0.842          0.64    165237.      0.0916
      244.73      1.8460      0.8267      0.0416      0.0935       1.012       3.191       1.275     754.912       0.360       5.671       0.784          0.65    167636.      0.0738
      254.14      1.9169      0.7665      0.0277      0.0696       0.753       2.373       0.847     561.324       0.268       3.769       0.699          0.66    170087.      0.0537
      263.56      1.9880      0.6148      0.0137      0.0445       0.482       1.518       0.420     359.397       0.172       1.871       0.539          0.66    172586.      0.0292
      272.97      2.0590     -0.0026      0.0000      0.0188       0.204       0.641      -0.001     151.755       0.073      -0.004      -0.003          0.67    175130.      0.0000



         PROP RPM =      21000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1507      0.1487       1.863       5.591       5.085    1389.233       0.631      22.615       1.702          0.58    137409.      0.3217
        9.88      0.0710      0.0720      0.1503      0.1485       1.859       5.582       5.071    1386.796       0.631      22.553       1.696          0.58    137711.      0.3205
       19.76      0.1420      0.1433      0.1501      0.1487       1.862       5.591       5.064    1389.042       0.631      22.526       1.689          0.58    138088.      0.3188
       29.65      0.2130      0.2137      0.1502      0.1496       1.873       5.624       5.068    1397.242       0.635      22.542       1.677          0.58    138550.      0.3167
       39.52      0.2839      0.2823      0.1506      0.1512       1.894       5.685       5.081    1412.531       0.643      22.600       1.661          0.58    139104.      0.3140
       49.41      0.3549      0.3486      0.1512      0.1537       1.925       5.779       5.103    1435.827       0.652      22.698       1.639          0.59    139756.      0.3105
       59.28      0.4259      0.4116      0.1522      0.1572       1.968       5.908       5.134    1467.784       0.667      22.835       1.612          0.59    140509.      0.3062
       69.16      0.4969      0.4706      0.1532      0.1615       2.023       6.072       5.171    1508.774       0.686      23.002       1.579          0.59    141366.      0.3009
       79.04      0.5678      0.5249      0.1546      0.1669       2.091       6.274       5.214    1558.861       0.709      23.190       1.541          0.59    142328.      0.2946
       88.92      0.6388      0.5740      0.1558      0.1732       2.170       6.511       5.258    1617.760       0.736      23.389       1.497          0.59    143396.      0.2875
       98.81      0.7098      0.6179      0.1571      0.1804       2.260       6.781       5.301    1684.751       0.766      23.581       1.450          0.59    144570.      0.2795
      108.69      0.7808      0.6562      0.1583      0.1883       2.358       7.078       5.340    1758.526       0.799      23.750       1.400          0.60    145848.      0.2707
      118.56      0.8518      0.6893      0.1590      0.1967       2.463       7.394       5.367    1836.934       0.835      23.870       1.349          0.60    147228.      0.2612
      128.45      0.9228      0.7175      0.1593      0.2051       2.571       7.714       5.375    1916.522       0.871      23.907       1.296          0.60    148710.      0.2512
      138.33      0.9938      0.7415      0.1587      0.2132       2.671       8.017       5.354    1991.821       0.905      23.816       1.244          0.61    150293.      0.2406
      148.21      1.0647      0.7619      0.1568      0.2200       2.756       8.270       5.292    2054.664       0.935      23.536       1.193          0.62    151974.      0.2293
      158.09      1.1357      0.7798      0.1532      0.2243       2.808       8.430       5.171    2094.558       0.953      23.002       1.145          0.62    153754.      0.2175
      167.97      1.2067      0.7962      0.1477      0.2250       2.819       8.460       4.983    2101.943       0.956      22.168       1.101          0.62    155630.      0.2052
      177.85      1.2776      0.8116      0.1401      0.2219       2.780       8.342       4.729    2072.644       0.943      21.037       1.060          0.63    157599.      0.1925
      187.74      1.3486      0.8263      0.1310      0.2151       2.693       8.082       4.418    2008.242       0.913      19.652       1.022          0.64    159654.      0.1794
      197.62      1.4196      0.8397      0.1204      0.2048       2.566       7.699       4.062    1912.938       0.870      18.068       0.987          0.65    161787.      0.1661
      207.50      1.4906      0.8512      0.1088      0.1918       2.401       7.208       3.671    1791.012       0.815      16.329       0.954          0.65    163995.      0.1524
      217.38      1.5615      0.8602      0.0965      0.1762       2.207       6.624       3.254    1645.940       0.748      14.474       0.919          0.65    166272.      0.1385
      227.26      1.6325      0.8655      0.0834      0.1585       1.985       5.958       2.816    1480.410       0.673      12.527       0.885          0.66    168614.      0.1239
      237.14      1.7035      0.8652      0.0701      0.1389       1.739       5.219       2.362    1296.614       0.589      10.509       0.847          0.67    171018.      0.1087
      247.02      1.7745      0.8559      0.0563      0.1174       1.470       4.413       1.897    1096.461       0.498       8.441       0.805          0.67    173480.      0.0925
      256.89      1.8455      0.8307      0.0422      0.0944       1.183       3.549       1.425     881.808       0.401       6.338       0.750          0.68    175998.      0.0747
      266.77      1.9164      0.7722      0.0281      0.0701       0.878       2.635       0.948     654.769       0.298       4.217       0.671          0.69    178571.      0.0545
      276.66      1.9874      0.6223      0.0140      0.0447       0.560       1.683       0.472     418.046       0.190       2.098       0.520          0.69    181194.      0.0298
      286.54      2.0584     -0.0018      0.0000      0.0187       0.235       0.705      -0.001     175.246       0.080      -0.003      -0.002          0.70    183864.      0.0000



         PROP RPM =      22000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1507      0.1492       2.149       6.159       5.582    1602.967       0.696      24.831       1.619          0.61    143950.      0.3208
       10.34      0.0709      0.0717      0.1503      0.1490       2.146       6.147       5.568    1599.958       0.695      24.762       1.615          0.61    144267.      0.3196
       20.69      0.1419      0.1428      0.1502      0.1492       2.148       6.156       5.560    1602.319       0.696      24.734       1.608          0.61    144662.      0.3180
       31.04      0.2128      0.2130      0.1502      0.1501       2.161       6.191       5.565    1611.514       0.700      24.751       1.598          0.61    145146.      0.3160
       41.38      0.2838      0.2816      0.1507      0.1517       2.184       6.258       5.579    1628.850       0.707      24.815       1.582          0.61    145725.      0.3134
       51.73      0.3547      0.3476      0.1513      0.1542       2.220       6.359       5.603    1655.390       0.719      24.924       1.562          0.61    146406.      0.3100
       62.07      0.4256      0.4106      0.1522      0.1575       2.268       6.500       5.638    1691.897       0.734      25.075       1.536          0.62    147195.      0.3057
       72.41      0.4965      0.4695      0.1533      0.1619       2.332       6.680       5.679    1738.813       0.755      25.260       1.504          0.62    148092.      0.3005
       82.76      0.5675      0.5238      0.1546      0.1673       2.409       6.901       5.726    1796.237       0.780      25.470       1.469          0.62    149098.      0.2944
       93.10      0.6384      0.5731      0.1559      0.1736       2.499       7.161       5.776    1863.876       0.809      25.692       1.427          0.62    150216.      0.2873
      103.45      0.7094      0.6169      0.1573      0.1807       2.603       7.457       5.825    1940.949       0.843      25.909       1.383          0.62    151444.      0.2794
      113.79      0.7803      0.6554      0.1584      0.1886       2.717       7.784       5.868    2026.016       0.879      26.102       1.336          0.62    152780.      0.2707
      124.15      0.8513      0.6886      0.1593      0.1971       2.838       8.132       5.900    2116.688       0.919      26.244       1.286          0.64    154224.      0.2614
      134.49      0.9222      0.7170      0.1597      0.2057       2.963       8.488       5.912    2209.105       0.959      26.300       1.236          0.64    155776.      0.2515
      144.84      0.9931      0.7410      0.1592      0.2139       3.080       8.825       5.894    2297.132       0.997      26.218       1.187          0.64    157431.      0.2409
      155.18      1.0640      0.7615      0.1574      0.2208       3.180       9.111       5.831    2371.558       1.030      25.934       1.139          0.65    159190.      0.2298
      165.52      1.1350      0.7794      0.1541      0.2253       3.246       9.299       5.705    2420.350       1.050      25.374       1.093          0.65    161052.      0.2181
      175.87      1.2060      0.7959      0.1487      0.2265       3.261       9.344       5.505    2432.109       1.056      24.486       1.050          0.66    163015.      0.2059
      186.21      1.2769      0.8114      0.1412      0.2236       3.220       9.226       5.231    2401.312       1.042      23.267       1.012          0.66    165074.      0.1932
      196.56      1.3478      0.8260      0.1321      0.2169       3.123       8.949       4.893    2329.280       1.011      21.761       0.976          0.67    167224.      0.1803
      206.91      1.4188      0.8396      0.1216      0.2068       2.978       8.532       4.502    2220.744       0.964      20.026       0.943          0.68    169458.      0.1669
      217.25      1.4897      0.8514      0.1100      0.1938       2.790       7.994       4.073    2080.735       0.903      18.117       0.911          0.68    171770.      0.1533
      227.59      1.5606      0.8607      0.0975      0.1782       2.566       7.351       3.614    1913.373       0.831      16.073       0.879          0.68    174154.      0.1394
      237.94      1.6316      0.8665      0.0846      0.1603       2.309       6.615       3.130    1721.824       0.748      13.925       0.846          0.69    176606.      0.1250
      248.29      1.7026      0.8669      0.0710      0.1405       2.023       5.796       2.630    1508.642       0.655      11.697       0.811          0.70    179122.      0.1098
      258.63      1.7735      0.8586      0.0571      0.1188       1.712       4.902       2.115    1276.062       0.554       9.407       0.770          0.71    181700.      0.0935
      268.98      1.8444      0.8346      0.0430      0.0955       1.377       3.943       1.591    1026.347       0.446       7.075       0.721          0.71    184337.      0.0757
      279.32      1.9154      0.7775      0.0287      0.0709       1.022       2.929       1.061     762.264       0.331       4.718       0.645          0.71    187029.      0.0554
      289.67      1.9863      0.6277      0.0143      0.0454       0.654       1.873       0.529     487.553       0.212       2.354       0.501          0.72    189775.      0.0304
      300.01      2.0572     -0.0003      0.0000      0.0193       0.278       0.796      -0.001     207.262       0.090      -0.001      -0.001          0.73    192570.      0.0000



         PROP RPM =      23000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1508      0.1499       2.468       6.762       6.104    1839.962       0.764      27.151       1.543          0.64    150492.      0.3196
       10.80      0.0708      0.0713      0.1504      0.1497       2.462       6.748       6.088    1836.275       0.762      27.075       1.539          0.64    150822.      0.3184
       21.61      0.1417      0.1421      0.1502      0.1498       2.466       6.757       6.080    1838.706       0.764      27.044       1.532          0.64    151234.      0.3169
       32.41      0.2126      0.2121      0.1503      0.1507       2.479       6.795       6.085    1848.923       0.768      27.062       1.522          0.64    151739.      0.3149
       43.22      0.2834      0.2802      0.1507      0.1523       2.505       6.866       6.100    1868.425       0.776      27.133       1.508          0.64    152344.      0.3124
       54.03      0.3544      0.3462      0.1514      0.1547       2.546       6.976       6.127    1898.430       0.788      27.252       1.489          0.64    153056.      0.3091
       64.83      0.4252      0.4090      0.1523      0.1581       2.601       7.129       6.164    1939.820       0.805      27.419       1.465          0.65    153877.      0.3049
       75.63      0.4961      0.4678      0.1535      0.1624       2.673       7.324       6.210    1993.117       0.828      27.623       1.435          0.65    154813.      0.2999
       86.44      0.5669      0.5221      0.1547      0.1678       2.760       7.564       6.263    2058.459       0.855      27.855       1.401          0.65    155864.      0.2939
       97.24      0.6378      0.5714      0.1561      0.1740       2.864       7.848       6.318    2135.552       0.887      28.102       1.363          0.66    157029.      0.2869
      108.05      0.7087      0.6154      0.1574      0.1812       2.982       8.171       6.373    2223.563       0.923      28.346       1.321          0.66    158310.      0.2792
      118.84      0.7795      0.6540      0.1587      0.1891       3.112       8.529       6.422    2320.928       0.964      28.566       1.276          0.66    159704.      0.2707
      129.66      0.8504      0.6874      0.1596      0.1976       3.252       8.912       6.460    2425.027       1.007      28.733       1.230          0.67    161211.      0.2614
      140.46      0.9212      0.7159      0.1600      0.2063       3.395       9.303       6.477    2531.601       1.051      28.810       1.182          0.67    162828.      0.2516
      151.26      0.9921      0.7401      0.1597      0.2147       3.532       9.679       6.462    2633.852       1.094      28.744       1.135          0.67    164555.      0.2412
      162.07      1.0630      0.7607      0.1581      0.2218       3.649      10.001       6.399    2721.504       1.130      28.462       1.089          0.68    166390.      0.2302
      172.87      1.1339      0.7787      0.1549      0.2266       3.729      10.220       6.270    2780.887       1.155      27.886       1.046          0.68    168332.      0.2187
      183.68      1.2047      0.7952      0.1497      0.2281       3.753      10.285       6.059    2798.519       1.161      26.950       1.006          0.69    170380.      0.2066
      194.49      1.2756      0.8107      0.1425      0.2255       3.711      10.169       5.766    2767.198       1.149      25.648       0.968          0.69    172529.      0.1941
      205.28      1.3464      0.8255      0.1334      0.2190       3.604       9.877       5.401    2687.779       1.115      24.021       0.934          0.70    174773.      0.1812
      216.09      1.4173      0.8392      0.1230      0.2091       3.441       9.428       4.976    2565.503       1.065      22.136       0.902          0.70    177104.      0.1679
      226.89      1.4882      0.8513      0.1114      0.1961       3.227       8.842       4.508    2406.185       0.999      20.050       0.871          0.71    179518.      0.1545
      237.70      1.5591      0.8610      0.0990      0.1805       2.970       8.139       4.005    2214.665       0.919      17.812       0.841          0.71    182006.      0.1406
      248.50      1.6300      0.8673      0.0858      0.1626       2.675       7.331       3.474    1994.660       0.829      15.453       0.810          0.72    184566.      0.1261
      259.31      1.7008      0.8683      0.0722      0.1426       2.346       6.428       2.922    1749.146       0.726      13.000       0.778          0.72    187194.      0.1109
      270.12      1.7716      0.8610      0.0582      0.1207       1.986       5.441       2.355    1480.838       0.615      10.475       0.740          0.73    189886.      0.0947
      280.91      1.8426      0.8380      0.0439      0.0972       1.599       4.383       1.776    1192.688       0.495       7.897       0.692          0.74    192638.      0.0769
      291.72      1.9134      0.7811      0.0294      0.0724       1.192       3.265       1.188     888.506       0.369       5.283       0.621          0.75    195449.      0.0563
      302.52      1.9843      0.6280      0.0147      0.0467       0.769       2.108       0.595     573.570       0.238       2.647       0.481          0.76    198314.      0.0309
      313.33      2.0551      0.0012      0.0000      0.0208       0.342       0.937       0.001     254.920       0.106       0.002       0.001          0.77    201233.      0.0000



         PROP RPM =      24000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1508      0.1508       2.821       7.407       6.649    2103.166       0.837      29.573       1.470          0.67    157032.      0.3179
       11.26      0.0708      0.0708      0.1505      0.1506       2.814       7.391       6.630    2098.693       0.835      29.491       1.466          0.67    157377.      0.3167
       22.52      0.1416      0.1412      0.1502      0.1507       2.818       7.399       6.622    2101.150       0.836      29.456       1.461          0.67    157806.      0.3153
       33.78      0.2123      0.2107      0.1504      0.1516       2.833       7.440       6.627    2112.436       0.841      29.476       1.452          0.67    158332.      0.3134
       45.04      0.2832      0.2786      0.1507      0.1531       2.862       7.516       6.643    2134.252       0.849      29.552       1.438          0.67    158962.      0.3109
       56.31      0.3539      0.3442      0.1515      0.1555       2.907       7.635       6.673    2167.986       0.863      29.683       1.421          0.67    159702.      0.3077
       67.56      0.4247      0.4067      0.1524      0.1588       2.970       7.800       6.714    2214.653       0.881      29.864       1.397          0.67    160558.      0.3036
       78.83      0.4955      0.4653      0.1535      0.1631       3.050       8.011       6.764    2274.863       0.905      30.088       1.370          0.68    161532.      0.2987
       90.09      0.5662      0.5196      0.1547      0.1684       3.150       8.271       6.822    2348.798       0.934      30.344       1.338          0.68    162626.      0.2928
      101.34      0.6370      0.5688      0.1562      0.1747       3.267       8.580       6.883    2436.171       0.969      30.617       1.301          0.68    163839.      0.2861
      112.60      0.7078      0.6127      0.1575      0.1820       3.401       8.931       6.944    2536.098       1.009      30.889       1.262          0.69    165172.      0.2785
      123.87      0.7786      0.6515      0.1588      0.1898       3.550       9.322       7.001    2646.895       1.054      31.139       1.220          0.69    166623.      0.2702
      135.12      0.8494      0.6850      0.1598      0.1984       3.708       9.740       7.045    2765.705       1.100      31.335       1.175          0.69    168191.      0.2611
      146.39      0.9202      0.7137      0.1604      0.2072       3.873      10.170       7.068    2887.862       1.149      31.438       1.131          0.69    169874.      0.2515
      157.64      0.9909      0.7381      0.1601      0.2156       4.031      10.587       7.057    3005.895       1.196      31.390       1.086          0.70    171672.      0.2412
      168.91      1.0617      0.7590      0.1588      0.2230       4.168      10.948       6.996    3108.441       1.236      31.118       1.043          0.70    173581.      0.2304
      180.17      1.1325      0.7772      0.1557      0.2281       4.264      11.200       6.864    3180.134       1.265      30.532       1.001          0.71    175602.      0.2192
      191.43      1.2032      0.7938      0.1507      0.2298       4.298      11.288       6.645    3205.171       1.276      29.558       0.963          0.71    177734.      0.2072
      202.69      1.2740      0.8095      0.1437      0.2277       4.256      11.179       6.335    3174.251       1.263      28.178       0.927          0.72    179970.      0.1948
      213.95      1.3449      0.8245      0.1348      0.2215       4.140      10.873       5.944    3087.461       1.228      26.436       0.895          0.72    182307.      0.1821
      225.21      1.4156      0.8385      0.1245      0.2117       3.957      10.392       5.485    2950.580       1.174      24.399       0.865          0.73    184736.      0.1690
      236.48      1.4864      0.8509      0.1129      0.1987       3.716       9.756       4.976    2770.410       1.102      22.133       0.836          0.74    187249.      0.1556
      247.73      1.5572      0.8610      0.1005      0.1831       3.423       8.989       4.426    2552.622       1.016      19.691       0.807          0.74    189842.      0.1417
      258.99      1.6280      0.8679      0.0873      0.1651       3.087       8.105       3.847    2301.468       0.915      17.111       0.778          0.75    192509.      0.1273
      270.25      1.6987      0.8697      0.0736      0.1449       2.710       7.115       3.242    2020.458       0.803      14.421       0.748          0.76    195246.      0.1122
      281.51      1.7696      0.8629      0.0594      0.1228       2.297       6.033       2.618    1713.082       0.681      11.645       0.712          0.77    198050.      0.0960
      292.77      1.8403      0.8399      0.0449      0.0993       1.856       4.872       1.978    1383.425       0.550       8.801       0.665          0.78    200918.      0.0780
      304.03      1.9110      0.7806      0.0301      0.0743       1.391       3.652       1.328    1037.104       0.412       5.905       0.596          0.78    203846.      0.0571
      315.29      1.9819      0.6193      0.0152      0.0489       0.914       2.401       0.667     681.875       0.272       2.968       0.455          0.79    206831.      0.0309
      326.55      2.0526      0.0017      0.0000      0.0235       0.440       1.154       0.001     327.608       0.131       0.004       0.001          0.79    209870.      0.0000



         PROP RPM =      25000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1508      0.1521       3.213       8.102       7.216    2396.484       0.915      32.098       1.401          0.69    163573.      0.3155
       11.72      0.0707      0.0703      0.1505      0.1517       3.207       8.084       7.196    2391.116       0.913      32.008       1.397          0.69    163932.      0.3144
       23.43      0.1414      0.1400      0.1502      0.1518       3.209       8.093       7.187    2393.573       0.914      31.969       1.392          0.69    164378.      0.3129
       35.15      0.2121      0.2089      0.1504      0.1527       3.226       8.134       7.192    2406.003       0.919      31.989       1.383          0.70    164924.      0.3111
       46.87      0.2828      0.2762      0.1507      0.1542       3.259       8.217       7.210    2430.331       0.928      32.071       1.370          0.70    165579.      0.3086
       58.58      0.3535      0.3414      0.1515      0.1567       3.310       8.345       7.242    2468.137       0.943      32.213       1.354          0.70    166350.      0.3056
       70.30      0.4242      0.4035      0.1524      0.1599       3.380       8.522       7.287    2520.579       0.962      32.410       1.333          0.70    167238.      0.3017
       82.02      0.4949      0.4619      0.1535      0.1643       3.471       8.751       7.341    2588.364       0.989      32.654       1.307          0.70    168251.      0.2969
       93.73      0.5656      0.5158      0.1548      0.1696       3.583       9.033       7.404    2671.731       1.020      32.933       1.277          0.70    169388.      0.2912
      105.44      0.6363      0.5650      0.1562      0.1758       3.716       9.366       7.471    2770.397       1.058      33.234       1.242          0.70    170648.      0.2845
      117.17      0.7070      0.6089      0.1577      0.1830       3.867       9.749       7.540    2883.436       1.101      33.535       1.205          0.71    172034.      0.2772
      128.88      0.7777      0.6476      0.1590      0.1910       4.035      10.174       7.603    3009.040       1.149      33.816       1.165          0.71    173542.      0.2690
      140.59      0.8484      0.6812      0.1600      0.1996       4.216      10.630       7.654    3144.111       1.200      34.044       1.123          0.72    175171.      0.2601
      152.31      0.9191      0.7101      0.1607      0.2084       4.404      11.101       7.684    3283.547       1.254      34.177       1.082          0.72    176920.      0.2508
